Identifier,Responsible partner,"Version (optional)
","Competency Question /
 Natural language sentence (fact)",Answer (For Competency Questions),"Status (Proposed, Accepted, Rejected, Deprecated)","Use case
(UC02-001, UC01-002, UC01-006, UC01-007)",Comments (optional),Extracted from (provenance),"Priority 
(High, Medium, Low) (optional)",Relation with other requirements (optional),Associated ontology elements,Relation to ontology elements in other domains
SUM1,UPM,v0.1.0,¿Cuál es la calificación energética (letra A-G) de un equipamiento según su certificado vigente?,,Proposed,,No explícito en documentación,,,De INF12,,
SUM2,UPM,v0.1.0,"¿Se han aplicado medidas de ahorro energético (ej. luminarias LED, sensores de presencia) en el último periodo?",,Proposed,,No explícito en documentación,,,De INF15,,
SUM3,UPM,v0.1.0,"¿Qué tipo de sistema de climatización y calefacción (ej. caldera de gas, bomba de calor) utiliza un equipamiento en la actualidad?",,Proposed,,No explícito en documentación,,,De INF16,,
SUM4,UPM,v0.1.0,¿Qué tipo de aislamiento térmico tienen los cerramientos y qué tipo de vidrios tienen las ventanas (de un centro)?,,Proposed,,No explícito en documentación,,,De INF39,,
SUM5,UPM,v0.1.0,¿Cuál es la potencia eléctrica contratada para un equipamiento?,,Proposed,,¿También para cualquier otro elemento?,,,De INF14,,
SUM6,UPM,v0.1.0,¿Cuál es el consumo anual de electricidad (en kWh) registrado en un elemento de infraestructura en durante un periodo de tiempo?,,Proposed,,,,,De INF13,,
SUM7,UPM,v0.1.0,¿Cuál es el consumo de electricidad (en kWh) por mes en un elemento de infraestructura en durante el último año?,,Proposed,,¿Consumo medio para KPI?,,,,,
SUM8,UPM,v0.1.0,¿Cuál es el consumo medio de electricidad por tipo de elemento de infraestructura (en una división administrativa) durante un periodo de tiempo?,,Proposed,,¿Para KPI?,,,,,
SUM9,UPM,v0.1.0,,,Proposed,,,,,,,
SUM10,UPM,v0.1.0,"¿Dispone el edificio de sistemas de generación de energía renovable (placas solares, geotermia, biomasa)?",,Proposed,,,,,,,
SUM11,UPM,v0.1.0,¿Cuál es la energía generada (en un intervalo de tiempo) por todas las instalaciones fotovoltaicas asociadas a un elemento de infraestructura o división administrativa (expresada en kWh)?,,Proposed,,,,,,,
SUM12,UPM,v0.1.0,¿Cuál es la energía generada por cada instalación fotovoltaica de una división adeministrativa durante un periodo de tiempo?,,Proposed,,¿Energía media para KPI?,,,,,
SUM13,UPM,v0.1.0,¿Cuál es la energía generada por las intalaciones fotovoltaicas de un elemento de infraestructura en cada estación del año?,,Proposed,,,,,,,
SUM14,UPM,v0.1.0,¿Cuál es la relación entre la producción fotovoltaica y el consumo energético del elemento de infraestructura o división administrativa (expresada como porcentaje del consumo cubierto?,,Proposed,,¿Para KPI?,,,,,